Date,Open,High,Low,Close,Adj Close,Volume
2020-10-06,13.990000,13.990000,13.990000,13.990000,12.043859,0
2020-10-07,14.230000,14.230000,14.230000,14.230000,12.250472,0
2020-10-08,14.430000,14.430000,14.430000,14.430000,12.422651,0
2020-10-09,14.550000,14.550000,14.550000,14.550000,12.525957,0
2020-10-12,14.710000,14.710000,14.710000,14.710000,12.663700,0
2020-10-13,14.570000,14.570000,14.570000,14.570000,12.543175,0
2020-10-14,14.460000,14.460000,14.460000,14.460000,12.448479,0
2020-10-15,14.430000,14.430000,14.430000,14.430000,12.422651,0
2020-10-16,14.480000,14.480000,14.480000,14.480000,12.465696,0
2020-10-19,14.270000,14.270000,14.270000,14.270000,12.284908,0
2020-10-20,14.360000,14.360000,14.360000,14.360000,12.362389,0
2020-10-21,14.300000,14.300000,14.300000,14.300000,12.310736,0
2020-10-22,14.470000,14.470000,14.470000,14.470000,12.457087,0
2020-10-23,14.490000,14.490000,14.490000,14.490000,12.474304,0
2020-10-26,14.150000,14.150000,14.150000,14.150000,12.181602,0
2020-10-27,14.000000,14.000000,14.000000,14.000000,12.052468,0
2020-10-28,13.540000,13.540000,13.540000,13.540000,11.656458,0
2020-10-29,13.690000,13.690000,13.690000,13.690000,11.785591,0
2020-10-30,13.630000,13.630000,13.630000,13.630000,11.733939,0
2020-11-02,13.840000,13.840000,13.840000,13.840000,11.914727,0
2020-11-03,14.130000,14.130000,14.130000,14.130000,12.164383,0
2020-11-04,14.320000,14.320000,14.320000,14.320000,12.327953,0
2020-11-05,14.630000,14.630000,14.630000,14.630000,12.594829,0
2020-11-06,14.590000,14.590000,14.590000,14.590000,12.560392,0
2020-11-09,15.250000,15.250000,15.250000,15.250000,13.128581,0
2020-11-10,15.350000,15.350000,15.350000,15.350000,13.214670,0
2020-11-11,15.350000,15.350000,15.350000,15.350000,13.214670,0
2020-11-12,15.150000,15.150000,15.150000,15.150000,13.042492,0
2020-11-13,15.410000,15.410000,15.410000,15.410000,13.266323,0
2020-11-16,15.700000,15.700000,15.700000,15.700000,13.515983,0
2020-11-17,15.650000,15.650000,15.650000,15.650000,13.472938,0
2020-11-18,15.470000,15.470000,15.470000,15.470000,13.317978,0
2020-11-19,15.520000,15.520000,15.520000,15.520000,13.361023,0
2020-11-20,15.430000,15.430000,15.430000,15.430000,13.283542,0
2020-11-23,15.650000,15.650000,15.650000,15.650000,13.472938,0
2020-11-24,16.080000,16.080000,16.080000,16.080000,13.843121,0
2020-11-25,16.030001,16.030001,16.030001,16.030001,13.800076,0
2020-11-27,16.040001,16.040001,16.040001,16.040001,13.808685,0
2020-11-30,15.800000,15.800000,15.800000,15.800000,13.602071,0
2020-12-01,15.980000,15.980000,15.980000,15.980000,13.757030,0
2020-12-02,16.139999,16.139999,16.139999,16.139999,13.894773,0
2020-12-03,16.209999,16.209999,16.209999,16.209999,13.955035,0
2020-12-04,16.440001,16.440001,16.440001,16.440001,14.153042,0
2020-12-07,16.360001,16.360001,16.360001,16.360001,14.084171,0
2020-12-08,16.389999,16.389999,16.389999,16.389999,14.109996,0
2020-12-09,16.400000,16.400000,16.400000,16.400000,14.118605,0
2020-12-10,16.420000,16.420000,16.420000,16.420000,14.135823,0
2020-12-11,15.790000,15.790000,15.790000,15.790000,14.112586,0
2020-12-14,15.600000,15.600000,15.600000,15.600000,13.942770,0
2020-12-15,15.850000,15.850000,15.850000,15.850000,14.166211,0
2020-12-16,15.880000,15.880000,15.880000,15.880000,14.193024,0
2020-12-17,15.960000,15.960000,15.960000,15.960000,14.264525,0
2020-12-18,15.890000,15.890000,15.890000,15.890000,14.201962,0
2020-12-21,15.850000,15.850000,15.850000,15.850000,14.166211,0
2020-12-22,15.750000,15.750000,15.750000,15.750000,14.076835,0
2020-12-23,15.900000,15.900000,15.900000,15.900000,14.210899,0
2020-12-24,15.900000,15.900000,15.900000,15.900000,14.210899,0
2020-12-28,16.010000,16.010000,16.010000,16.010000,14.309214,0
2020-12-29,16.000000,16.000000,16.000000,16.000000,14.300277,0
2020-12-30,16.059999,16.059999,16.059999,16.059999,14.353902,0
2020-12-31,16.110001,16.110001,16.110001,16.110001,14.398590,0
2021-01-04,15.950000,15.950000,15.950000,15.950000,14.255588,0
2021-01-05,16.160000,16.160000,16.160000,16.160000,14.443279,0
2021-01-06,16.459999,16.459999,16.459999,16.459999,14.711410,0
2021-01-07,16.680000,16.680000,16.680000,16.680000,14.908037,0
